status,trial_id,model_id,family,game,target_mode,backend,protocol_hash,elapsed_seconds,error,hit_at_1,mae,mse,exact,all_positions_within_1,brier,log_loss
BLOCKED,pp-bart-categorical__numbers4__pymc_bart__pymc-nuts__s1,pp-bart-categorical,tree_bayesian,numbers4,digit_categorical,pymc_bart,,,,,,,,,,
BLOCKED,pp-bayesian-beta-calibration__numbers4__pymc__pymc-nuts__s1,pp-bayesian-beta-calibration,calibration,numbers4,calibration,pymc,,,,,,,,,,
BLOCKED,pp-bayesian-dirichlet-calibration__numbers4__pymc__pymc-nuts__s1,pp-bayesian-dirichlet-calibration,calibration,numbers4,calibration,pymc,,,,,,,,,,
BLOCKED,pp-bayesian-embedding-categorical__numbers4__pyro__pyro-svi-autonormal__s1,pp-bayesian-embedding-categorical,deep_probabilistic,numbers4,digit_categorical,pyro,,,,,,,,,,
BLOCKED,pp-bayesian-gam-categorical__numbers4__pymc__pymc-nuts__s1,pp-bayesian-gam-categorical,semi_parametric,numbers4,digit_categorical,pymc,,,,,,,,,,
BLOCKED,pp-bayesian-gru__numbers4__pyro__pyro-svi-autonormal__s1,pp-bayesian-gru,deep_probabilistic,numbers4,digit_categorical,pyro,,,,,,,,,,
BLOCKED,pp-bayesian-kernel-mixture__numbers4__pymc__pymc-smc__s1,pp-bayesian-kernel-mixture,nonparametric,numbers4,digit_ordinal,pymc,,,,,,,,,,
BLOCKED,pp-bayesian-lstm__numbers4__pyro__pyro-svi-autonormal__s1,pp-bayesian-lstm,deep_probabilistic,numbers4,digit_categorical,pyro,,,,,,,,,,
BLOCKED,pp-bayesian-mlp__numbers4__pyro__pyro-svi-autonormal__s1,pp-bayesian-mlp,deep_probabilistic,numbers4,digit_categorical,pyro,,,,,,,,,,
BLOCKED,pp-bayesian-model-averaging__numbers4__pymc__pymc-nuts__s1,pp-bayesian-model-averaging,ensemble,numbers4,ensemble,pymc,,,,,,,,,,
BLOCKED,pp-bayesian-neural-ordinal__numbers4__pyro__pyro-svi-autonormal__s1,pp-bayesian-neural-ordinal,deep_probabilistic,numbers4,digit_ordinal,pyro,,,,,,,,,,
