model_id,game,target_mode,draw_id,position,candidate,probability_mean,probability_sd,hdi_low,hdi_high,posterior_draw_count,protocol_hash,execution_fingerprint
pp-static-dirichlet-categorical,numbers3,digit_categorical,next-81,1,0,0.048769194794665634,0.023049907316231258,0.0174724658421051,0.09758154866908172,16,ba8ceed24e792421764f15d13a10637be0930df1b3e0a7f3cf55a138ec6b845e,df382e8891ac1b02bd30a3a4d396e7b424e0fc52c80af5e4dacf1315801c93b7
pp-static-dirichlet-categorical,numbers3,digit_categorical,next-81,1,1,0.1270218457120469,0.0317168186013533,0.09403893546836094,0.2009944936047959,16,ba8ceed24e792421764f15d13a10637be0930df1b3e0a7f3cf55a138ec6b845e,df382e8891ac1b02bd30a3a4d396e7b424e0fc52c80af5e4dacf1315801c93b7
pp-static-dirichlet-categorical,numbers3,digit_categorical,next-81,1,2,0.1297124836149546,0.02366435043031609,0.09202497206340081,0.16190474317269052,16,ba8ceed24e792421764f15d13a10637be0930df1b3e0a7f3cf55a138ec6b845e,df382e8891ac1b02bd30a3a4d396e7b424e0fc52c80af5e4dacf1315801c93b7
pp-static-dirichlet-categorical,numbers3,digit_categorical,next-81,1,3,0.16087301059297404,0.040221062526880236,0.10905271578362531,0.24900400176703047,16,ba8ceed24e792421764f15d13a10637be0930df1b3e0a7f3cf55a138ec6b845e,df382e8891ac1b02bd30a3a4d396e7b424e0fc52c80af5e4dacf1315801c93b7
pp-static-dirichlet-categorical,numbers3,digit_categorical,next-81,1,4,0.1163774964599412,0.040315862599699014,0.05393397926342083,0.18242355215248324,16,ba8ceed24e792421764f15d13a10637be0930df1b3e0a7f3cf55a138ec6b845e,df382e8891ac1b02bd30a3a4d396e7b424e0fc52c80af5e4dacf1315801c93b7
pp-static-dirichlet-categorical,numbers3,digit_categorical,next-81,1,5,0.09443933420150061,0.03849438511529363,0.05063476090495152,0.1840829951128169,16,ba8ceed24e792421764f15d13a10637be0930df1b3e0a7f3cf55a138ec6b845e,df382e8891ac1b02bd30a3a4d396e7b424e0fc52c80af5e4dacf1315801c93b7
pp-static-dirichlet-categorical,numbers3,digit_categorical,next-81,1,6,0.14731684880390733,0.03238034749681767,0.10575371857288117,0.20828228742483884,16,ba8ceed24e792421764f15d13a10637be0930df1b3e0a7f3cf55a138ec6b845e,df382e8891ac1b02bd30a3a4d396e7b424e0fc52c80af5e4dacf1315801c93b7
pp-static-dirichlet-categorical,numbers3,digit_categorical,next-81,1,7,0.12340762439963997,0.0383352724651596,0.07607510909863563,0.20484467833409076,16,ba8ceed24e792421764f15d13a10637be0930df1b3e0a7f3cf55a138ec6b845e,df382e8891ac1b02bd30a3a4d396e7b424e0fc52c80af5e4dacf1315801c93b7
pp-static-dirichlet-categorical,numbers3,digit_categorical,next-81,1,8,0.03864341492048888,0.020690613448711304,0.012693789237732445,0.08364998823152418,16,ba8ceed24e792421764f15d13a10637be0930df1b3e0a7f3cf55a138ec6b845e,df382e8891ac1b02bd30a3a4d396e7b424e0fc52c80af5e4dacf1315801c93b7
pp-static-dirichlet-categorical,numbers3,digit_categorical,next-81,1,9,0.013438746499880897,0.012118283759481865,0.0022750439545489005,0.040730906811416175,16,ba8ceed24e792421764f15d13a10637be0930df1b3e0a7f3cf55a138ec6b845e,df382e8891ac1b02bd30a3a4d396e7b424e0fc52c80af5e4dacf1315801c93b7
pp-static-dirichlet-categorical,numbers3,digit_categorical,next-81,2,0,0.013662676150939053,0.014492480154055921,0.0003411885926538224,0.046855945993774135,16,ba8ceed24e792421764f15d13a10637be0930df1b3e0a7f3cf55a138ec6b845e,df382e8891ac1b02bd30a3a4d396e7b424e0fc52c80af5e4dacf1315801c93b7
pp-static-dirichlet-categorical,numbers3,digit_categorical,next-81,2,1,0.05550464481881027,0.022384498689027546,0.025494801430685974,0.09940185670876873,16,ba8ceed24e792421764f15d13a10637be0930df1b3e0a7f3cf55a138ec6b845e,df382e8891ac1b02bd30a3a4d396e7b424e0fc52c80af5e4dacf1315801c93b7
pp-static-dirichlet-categorical,numbers3,digit_categorical,next-81,2,2,0.10277347070765627,0.02479056618958063,0.06543681924278348,0.14944746233442902,16,ba8ceed24e792421764f15d13a10637be0930df1b3e0a7f3cf55a138ec6b845e,df382e8891ac1b02bd30a3a4d396e7b424e0fc52c80af5e4dacf1315801c93b7
pp-static-dirichlet-categorical,numbers3,digit_categorical,next-81,2,3,0.12389824254710345,0.04427179028452776,0.06183737497633028,0.20804027213149698,16,ba8ceed24e792421764f15d13a10637be0930df1b3e0a7f3cf55a138ec6b845e,df382e8891ac1b02bd30a3a4d396e7b424e0fc52c80af5e4dacf1315801c93b7
pp-static-dirichlet-categorical,numbers3,digit_categorical,next-81,2,4,0.12631950956818777,0.02877694576743382,0.06979054866677123,0.16343493091777012,16,ba8ceed24e792421764f15d13a10637be0930df1b3e0a7f3cf55a138ec6b845e,df382e8891ac1b02bd30a3a4d396e7b424e0fc52c80af5e4dacf1315801c93b7
pp-static-dirichlet-categorical,numbers3,digit_categorical,next-81,2,5,0.13543258481654302,0.028837525051765706,0.08742903950183133,0.18086702530952928,16,ba8ceed24e792421764f15d13a10637be0930df1b3e0a7f3cf55a138ec6b845e,df382e8891ac1b02bd30a3a4d396e7b424e0fc52c80af5e4dacf1315801c93b7
pp-static-dirichlet-categorical,numbers3,digit_categorical,next-81,2,6,0.0816193645882397,0.026131933356915518,0.03947003901216459,0.12855847170743318,16,ba8ceed24e792421764f15d13a10637be0930df1b3e0a7f3cf55a138ec6b845e,df382e8891ac1b02bd30a3a4d396e7b424e0fc52c80af5e4dacf1315801c93b7
pp-static-dirichlet-categorical,numbers3,digit_categorical,next-81,2,7,0.19305150724353892,0.058165943007792244,0.115229845575567,0.2866707939030979,16,ba8ceed24e792421764f15d13a10637be0930df1b3e0a7f3cf55a138ec6b845e,df382e8891ac1b02bd30a3a4d396e7b424e0fc52c80af5e4dacf1315801c93b7
pp-static-dirichlet-categorical,numbers3,digit_categorical,next-81,2,8,0.10420723579608193,0.029300454913986456,0.05667325325570674,0.15788166953856492,16,ba8ceed24e792421764f15d13a10637be0930df1b3e0a7f3cf55a138ec6b845e,df382e8891ac1b02bd30a3a4d396e7b424e0fc52c80af5e4dacf1315801c93b7
pp-static-dirichlet-categorical,numbers3,digit_categorical,next-81,2,9,0.06353076376289961,0.02980579406338346,0.030920868755364813,0.13164423164968841,16,ba8ceed24e792421764f15d13a10637be0930df1b3e0a7f3cf55a138ec6b845e,df382e8891ac1b02bd30a3a4d396e7b424e0fc52c80af5e4dacf1315801c93b7
pp-static-dirichlet-categorical,numbers3,digit_categorical,next-81,3,0,0.020893462631273344,0.012183544251230187,0.004489937687378043,0.04197930902001683,16,ba8ceed24e792421764f15d13a10637be0930df1b3e0a7f3cf55a138ec6b845e,df382e8891ac1b02bd30a3a4d396e7b424e0fc52c80af5e4dacf1315801c93b7
pp-static-dirichlet-categorical,numbers3,digit_categorical,next-81,3,1,0.03182976466233792,0.019190643653690602,0.01255967264671725,0.07397174915180606,16,ba8ceed24e792421764f15d13a10637be0930df1b3e0a7f3cf55a138ec6b845e,df382e8891ac1b02bd30a3a4d396e7b424e0fc52c80af5e4dacf1315801c93b7
pp-static-dirichlet-categorical,numbers3,digit_categorical,next-81,3,2,0.09439419413604429,0.036645302260496775,0.04008022243913484,0.14804357183782946,16,ba8ceed24e792421764f15d13a10637be0930df1b3e0a7f3cf55a138ec6b845e,df382e8891ac1b02bd30a3a4d396e7b424e0fc52c80af5e4dacf1315801c93b7
